Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
1078.0,1984.0,242.0,0.0,374.0,1773.0,4758.0,0.0,0
1078.0,1984.0,242.0,0.0,374.0,1773.0,4758.0,0.0,1
953.0,1947.0,236.0,0.0,288.0,4576.0,4922.0,0.0,2
826.0,1919.0,233.0,0.0,206.0,4473.0,5024.0,0.0,3
0.0,2580.0,232.0,0.0,156.0,4283.0,5046.0,0.0,4
0.0,2513.0,118.0,133.0,119.0,4035.0,5062.0,0.0,5
0.0,2484.0,0.0,257.0,95.0,3817.0,5021.0,5.0,6
133.0,2448.0,0.0,273.0,74.0,3440.0,4913.0,5.0,7
253.0,2416.0,0.0,271.0,68.0,3133.0,4807.0,8.0,8
432.0,2371.0,0.0,271.0,54.0,5634.0,4737.0,8.0,9
506.0,2423.0,0.0,266.0,52.0,5276.0,4596.0,7.0,10
546.0,1644.0,834.0,258.0,46.0,4749.0,4378.0,8.0,11
544.0,307.0,1443.0,913.0,32.0,4301.0,4164.0,11.0,12
630.0,444.0,0.0,1705.0,208.0,3772.0,4107.0,35.0,13
1206.0,563.0,0.0,1563.0,146.0,3287.0,3921.0,35.0,14
1601.0,690.0,0.0,1535.0,123.0,2843.0,3743.0,63.0,15
1601.0,864.0,0.0,1494.0,99.0,5265.0,3495.0,68.0,16
1601.0,1382.0,0.0,1459.0,77.0,4681.0,3287.0,67.0,17
1601.0,1711.0,78.0,1379.0,75.0,4213.0,3139.0,70.0,18
1601.0,1847.0,71.0,1314.0,69.0,3742.0,2968.0,92.0,19
1601.0,2209.0,114.0,1285.0,61.0,3227.0,2702.0,89.0,20
1601.0,2429.0,125.0,1256.0,83.0,2752.0,2468.0,92.0,21
1601.0,2546.0,113.0,1250.0,101.0,2406.0,2302.0,104.0,22
1601.0,2878.0,127.0,1200.0,105.0,4772.0,2112.0,111.0,23
1601.0,3050.0,169.0,1125.0,117.0,4310.0,1949.0,109.0,24
1595.0,2828.0,454.0,1100.0,139.0,3754.0,1805.0,110.0,25
1588.0,2890.0,385.0,1239.0,196.0,3296.0,1670.0,135.0,26
1601.0,3030.0,214.0,1286.0,207.0,2885.0,1511.0,158.0,27
1601.0,2865.0,439.0,1205.0,197.0,2432.0,1365.0,162.0,28
1602.0,2898.0,347.0,1238.0,249.0,2115.0,1259.0,201.0,29
1602.0,3008.0,241.0,1262.0,262.0,4588.0,1192.0,198.0,30
1599.0,2879.0,426.0,1247.0,244.0,4124.0,1134.0,205.0,31
1598.0,2882.0,343.0,1257.0,283.0,3713.0,1048.0,233.0,32
1598.0,2987.0,249.0,1262.0,267.0,3300.0,965.0,249.0,33
1601.0,2914.0,417.0,1257.0,241.0,2848.0,920.0,278.0,34
1601.0,2929.0,359.0,1327.0,254.0,2522.0,857.0,297.0,35
1601.0,2961.0,298.0,1338.0,240.0,2194.0,780.0,322.0,36
1601.0,2904.0,370.0,1349.0,251.0,4692.0,753.0,313.0,37
1601.0,2897.0,365.0,1354.0,258.0,4098.0,672.0,311.0,38
1601.0,2939.0,290.0,1393.0,242.0,3707.0,638.0,302.0,39
1601.0,2913.0,351.0,1402.0,244.0,3312.0,632.0,304.0,40
1601.0,2950.0,325.0,1359.0,267.0,2906.0,638.0,304.0,41
1602.0,2944.0,352.0,1374.0,255.0,2490.0,604.0,313.0,42
1601.0,2957.0,361.0,1419.0,257.0,2085.0,595.0,330.0,43
1601.0,2951.0,329.0,1418.0,269.0,4543.0,600.0,316.0,44
1601.0,2955.0,319.0,1422.0,247.0,4114.0,584.0,311.0,45
1601.0,2977.0,352.0,1400.0,261.0,3662.0,571.0,331.0,46
1602.0,2985.0,354.0,1406.0,256.0,3278.0,545.0,326.0,47
1601.0,2982.0,324.0,1466.0,271.0,2875.0,532.0,347.0,48
1601.0,2983.0,374.0,1404.0,238.0,2483.0,522.0,358.0,49
1601.0,3003.0,344.0,1450.0,250.0,2140.0,503.0,367.0,50
1601.0,2966.0,353.0,1420.0,251.0,4623.0,510.0,371.0,51
1601.0,3004.0,343.0,1421.0,252.0,4287.0,529.0,346.0,52
1601.0,2993.0,344.0,1382.0,261.0,3772.0,516.0,354.0,53
1601.0,2957.0,370.0,1411.0,254.0,3321.0,543.0,373.0,54
1602.0,2964.0,349.0,1404.0,251.0,2949.0,528.0,382.0,55
1602.0,2961.0,326.0,1419.0,241.0,2468.0,550.0,371.0,56
1601.0,2910.0,367.0,1425.0,266.0,2087.0,529.0,395.0,57
1602.0,2899.0,364.0,1432.0,252.0,4549.0,549.0,383.0,58
1601.0,2908.0,318.0,1431.0,260.0,4158.0,527.0,403.0,59
1602.0,2861.0,372.0,1424.0,238.0,3657.0,531.0,384.0,60
