Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
1760.0,3186.0,356.0,0.0,265.0,1447.0,3460.0,0.0,0
1760.0,3186.0,356.0,0.0,265.0,1447.0,3460.0,0.0,1
1535.0,3130.0,335.0,0.0,191.0,4048.0,3593.0,0.0,2
1340.0,3091.0,329.0,0.0,157.0,3755.0,3665.0,0.0,3
0.0,4184.0,321.0,0.0,140.0,3548.0,3788.0,0.0,4
0.0,4086.0,152.0,156.0,102.0,3284.0,3801.0,0.0,5
0.0,4028.0,0.0,269.0,84.0,3030.0,3682.0,1.0,6
28.0,3976.0,0.0,266.0,67.0,2784.0,3663.0,6.0,7
173.0,3916.0,0.0,248.0,47.0,2424.0,3571.0,8.0,8
366.0,3857.0,0.0,232.0,41.0,4848.0,3559.0,9.0,9
502.0,3820.0,0.0,240.0,29.0,4302.0,3462.0,6.0,10
489.0,2486.0,1386.0,220.0,25.0,3802.0,3331.0,6.0,11
452.0,226.0,2331.0,1142.0,19.0,3397.0,3201.0,12.0,12
564.0,347.0,0.0,2028.0,236.0,2965.0,3066.0,49.0,13
1266.0,441.0,0.0,1602.0,142.0,2572.0,2912.0,68.0,14
1266.0,521.0,0.0,1470.0,94.0,2240.0,2784.0,71.0,15
1265.0,726.0,0.0,1384.0,65.0,4568.0,2657.0,73.0,16
1266.0,1274.0,0.0,1298.0,51.0,4000.0,2506.0,66.0,17
1266.0,1376.0,16.0,1219.0,44.0,3473.0,2380.0,69.0,18
1266.0,1521.0,78.0,1127.0,42.0,3054.0,2210.0,65.0,19
1266.0,1867.0,105.0,1035.0,58.0,2657.0,1999.0,71.0,20
1266.0,1944.0,106.0,1013.0,63.0,2243.0,1932.0,78.0,21
1265.0,2099.0,93.0,972.0,61.0,1892.0,1783.0,93.0,22
1266.0,2401.0,81.0,934.0,68.0,4186.0,1669.0,95.0,23
1266.0,2385.0,195.0,920.0,75.0,3671.0,1573.0,94.0,24
1266.0,2135.0,484.0,865.0,113.0,3193.0,1442.0,95.0,25
1266.0,2338.0,138.0,946.0,178.0,2780.0,1304.0,103.0,26
1266.0,2362.0,209.0,905.0,150.0,2365.0,1246.0,111.0,27
1266.0,2217.0,409.0,907.0,163.0,2003.0,1110.0,146.0,28
1266.0,2334.0,201.0,935.0,200.0,1723.0,987.0,162.0,29
1266.0,2333.0,233.0,915.0,184.0,4093.0,917.0,161.0,30
1265.0,2246.0,364.0,897.0,198.0,3578.0,835.0,164.0,31
1266.0,2376.0,194.0,962.0,202.0,3137.0,776.0,188.0,32
1266.0,2385.0,246.0,948.0,185.0,2757.0,747.0,191.0,33
1266.0,2323.0,328.0,988.0,170.0,2343.0,708.0,227.0,34
1265.0,2386.0,244.0,1004.0,181.0,1939.0,662.0,219.0,35
1266.0,2376.0,269.0,1003.0,183.0,1689.0,619.0,223.0,36
1266.0,2324.0,312.0,1009.0,159.0,4076.0,604.0,200.0,37
1265.0,2375.0,245.0,1059.0,162.0,3567.0,577.0,199.0,38
1266.0,2367.0,272.0,1007.0,173.0,3111.0,531.0,192.0,39
1266.0,2317.0,299.0,1020.0,187.0,2738.0,469.0,206.0,40
1265.0,2347.0,255.0,1048.0,202.0,2330.0,421.0,204.0,41
1265.0,2364.0,251.0,1065.0,207.0,1963.0,411.0,209.0,42
1266.0,2305.0,313.0,1079.0,162.0,1673.0,391.0,222.0,43
1266.0,2312.0,263.0,1103.0,197.0,4067.0,420.0,233.0,44
1265.0,2358.0,257.0,1131.0,199.0,3514.0,411.0,231.0,45
1266.0,2347.0,282.0,1115.0,210.0,3106.0,407.0,249.0,46
1266.0,2302.0,281.0,1123.0,204.0,2694.0,416.0,251.0,47
1266.0,2332.0,252.0,1079.0,217.0,2261.0,402.0,257.0,48
1266.0,2328.0,273.0,1089.0,218.0,1936.0,408.0,266.0,49
1266.0,2330.0,278.0,1077.0,202.0,1593.0,422.0,296.0,50
1266.0,2328.0,267.0,1114.0,213.0,4063.0,423.0,296.0,51
1266.0,2314.0,276.0,1090.0,213.0,3650.0,420.0,297.0,52
1266.0,2289.0,289.0,1119.0,195.0,3151.0,426.0,284.0,53
1266.0,2275.0,274.0,1130.0,184.0,2736.0,407.0,299.0,54
1266.0,2297.0,257.0,1138.0,191.0,2337.0,421.0,290.0,55
1265.0,2283.0,282.0,1100.0,180.0,2019.0,409.0,294.0,56
1265.0,2285.0,255.0,1119.0,202.0,1736.0,389.0,309.0,57
1266.0,2299.0,273.0,1112.0,215.0,4009.0,398.0,309.0,58
1266.0,2291.0,264.0,1147.0,176.0,3485.0,398.0,299.0,59
1265.0,2303.0,267.0,1106.0,185.0,3086.0,401.0,298.0,60
