Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
1062.0,1902.0,210.0,0.0,399.0,1766.0,5145.0,0.0,0
1062.0,1902.0,210.0,0.0,399.0,1766.0,5145.0,0.0,1
940.0,1865.0,205.0,0.0,320.0,4213.0,4792.0,0.0,2
828.0,1841.0,199.0,0.0,250.0,3835.0,4487.0,0.0,3
0.0,2519.0,191.0,0.0,202.0,3470.0,4211.0,0.0,4
0.0,2465.0,96.0,107.0,161.0,3208.0,4059.0,0.0,5
0.0,2437.0,0.0,191.0,149.0,2846.0,3945.0,2.0,6
45.0,2407.0,0.0,182.0,127.0,2636.0,3815.0,5.0,7
178.0,2377.0,0.0,195.0,103.0,2386.0,3633.0,8.0,8
371.0,2343.0,0.0,196.0,83.0,4676.0,3452.0,11.0,9
587.0,2348.0,0.0,178.0,65.0,4120.0,3313.0,12.0,10
750.0,1592.0,824.0,172.0,48.0,3675.0,3178.0,14.0,11
897.0,252.0,1441.0,784.0,38.0,3223.0,3048.0,15.0,12
980.0,426.0,0.0,1471.0,231.0,2888.0,2947.0,25.0,13
1174.0,633.0,0.0,1290.0,165.0,2520.0,2754.0,40.0,14
1633.0,868.0,0.0,1262.0,139.0,2148.0,2627.0,54.0,15
1613.0,1112.0,0.0,1228.0,114.0,4418.0,2420.0,66.0,16
1587.0,1440.0,0.0,1154.0,93.0,3843.0,2284.0,60.0,17
1615.0,1930.0,30.0,1028.0,73.0,3344.0,2165.0,58.0,18
1623.0,2089.0,83.0,994.0,70.0,2914.0,2031.0,55.0,19
1586.0,2316.0,106.0,983.0,76.0,2477.0,1917.0,56.0,20
1616.0,2641.0,163.0,938.0,93.0,2086.0,1807.0,57.0,21
1607.0,2714.0,187.0,897.0,102.0,1719.0,1619.0,70.0,22
1634.0,2813.0,222.0,912.0,118.0,4146.0,1508.0,77.0,23
1636.0,3009.0,226.0,895.0,143.0,3711.0,1398.0,70.0,24
1638.0,2992.0,296.0,870.0,154.0,3227.0,1258.0,75.0,25
1638.0,2861.0,482.0,877.0,196.0,2765.0,1165.0,77.0,26
1616.0,2999.0,248.0,967.0,243.0,2387.0,1081.0,89.0,27
1638.0,2983.0,318.0,942.0,212.0,2016.0,997.0,98.0,28
1638.0,2864.0,461.0,979.0,237.0,1732.0,912.0,104.0,29
1638.0,2943.0,282.0,1052.0,282.0,4150.0,850.0,116.0,30
1638.0,2980.0,311.0,1019.0,262.0,3586.0,782.0,128.0,31
1638.0,2926.0,406.0,1072.0,258.0,3073.0,750.0,141.0,32
1638.0,2999.0,282.0,1079.0,268.0,2652.0,659.0,154.0,33
1638.0,2988.0,343.0,1013.0,257.0,2212.0,576.0,164.0,34
1638.0,2940.0,388.0,1057.0,273.0,1844.0,563.0,181.0,35
1638.0,3009.0,318.0,1076.0,292.0,1535.0,548.0,172.0,36
1638.0,2984.0,338.0,1085.0,275.0,3805.0,514.0,175.0,37
1638.0,2962.0,369.0,1050.0,303.0,3418.0,497.0,172.0,38
1638.0,2982.0,336.0,1036.0,302.0,2960.0,475.0,186.0,39
1638.0,2952.0,347.0,1006.0,287.0,2608.0,430.0,203.0,40
1638.0,2981.0,359.0,994.0,282.0,2208.0,427.0,198.0,41
1637.0,3006.0,328.0,1034.0,291.0,1887.0,412.0,207.0,42
1638.0,2970.0,350.0,1021.0,295.0,1588.0,390.0,225.0,43
1638.0,2936.0,373.0,1044.0,303.0,4000.0,383.0,216.0,44
1638.0,2979.0,315.0,1071.0,291.0,3559.0,367.0,238.0,45
1638.0,2978.0,353.0,1037.0,288.0,3036.0,355.0,229.0,46
1637.0,2970.0,358.0,1101.0,297.0,2595.0,329.0,229.0,47
1638.0,3014.0,322.0,1145.0,282.0,2237.0,350.0,247.0,48
1638.0,2952.0,371.0,1143.0,291.0,1896.0,369.0,254.0,49
1638.0,2915.0,370.0,1125.0,307.0,1606.0,367.0,252.0,50
1638.0,2974.0,311.0,1098.0,299.0,3969.0,373.0,232.0,51
1638.0,2959.0,355.0,1060.0,286.0,3454.0,363.0,215.0,52
1638.0,2962.0,353.0,1085.0,290.0,2984.0,381.0,239.0,53
1633.0,2997.0,338.0,1089.0,302.0,2578.0,363.0,225.0,54
1613.0,2978.0,349.0,1130.0,281.0,2272.0,368.0,239.0,55
1621.0,2965.0,352.0,1132.0,272.0,1932.0,371.0,256.0,56
1619.0,2996.0,310.0,1121.0,284.0,1601.0,359.0,243.0,57
1638.0,2936.0,356.0,1078.0,278.0,3974.0,360.0,263.0,58
1638.0,2950.0,370.0,1072.0,269.0,3455.0,352.0,261.0,59
1633.0,2974.0,333.0,1096.0,276.0,3020.0,330.0,264.0,60
