Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
1780.0,3260.0,366.0,0.0,254.0,1440.0,3706.0,0.0,0
1780.0,3260.0,366.0,0.0,254.0,1440.0,3706.0,0.0,1
1584.0,3185.0,351.0,0.0,183.0,3890.0,3631.0,0.0,2
1383.0,3134.0,341.0,0.0,156.0,3535.0,3658.0,0.0,3
0.0,4288.0,335.0,0.0,141.0,3259.0,3574.0,0.0,4
0.0,4163.0,168.0,135.0,120.0,2986.0,3495.0,1.0,5
24.0,4099.0,0.0,271.0,84.0,2676.0,3432.0,3.0,6
108.0,4054.0,0.0,246.0,71.0,2420.0,3382.0,3.0,7
173.0,3998.0,0.0,230.0,53.0,2185.0,3247.0,6.0,8
290.0,3958.0,0.0,220.0,48.0,4599.0,3066.0,6.0,9
357.0,3961.0,0.0,211.0,43.0,4076.0,2952.0,9.0,10
503.0,2583.0,1365.0,203.0,35.0,3575.0,2894.0,10.0,11
600.0,210.0,2432.0,1098.0,21.0,3133.0,2838.0,9.0,12
644.0,306.0,0.0,2039.0,248.0,2737.0,2702.0,58.0,13
1178.0,447.0,0.0,1624.0,134.0,2381.0,2602.0,73.0,14
1179.0,608.0,0.0,1444.0,99.0,2008.0,2538.0,82.0,15
1178.0,737.0,0.0,1308.0,81.0,4251.0,2395.0,74.0,16
1179.0,1199.0,15.0,1178.0,60.0,3765.0,2200.0,73.0,17
1178.0,1334.0,50.0,1116.0,55.0,3168.0,2051.0,68.0,18
1179.0,1470.0,39.0,1054.0,48.0,2664.0,1900.0,76.0,19
1178.0,1775.0,90.0,964.0,52.0,2308.0,1799.0,68.0,20
1179.0,1902.0,85.0,910.0,63.0,1937.0,1678.0,65.0,21
1179.0,1954.0,126.0,899.0,58.0,1641.0,1597.0,71.0,22
1179.0,2142.0,149.0,872.0,78.0,3928.0,1474.0,71.0,23
1177.0,2276.0,127.0,861.0,77.0,3339.0,1313.0,85.0,24
1163.0,2069.0,413.0,848.0,88.0,2886.0,1167.0,75.0,25
1166.0,2182.0,192.0,921.0,159.0,2516.0,1117.0,86.0,26
1174.0,2225.0,174.0,869.0,138.0,2125.0,1005.0,94.0,27
1178.0,2103.0,358.0,837.0,123.0,1742.0,909.0,113.0,28
1179.0,2165.0,215.0,887.0,168.0,1430.0,844.0,120.0,29
1179.0,2238.0,181.0,838.0,179.0,3852.0,782.0,121.0,30
1179.0,2149.0,328.0,857.0,152.0,3369.0,716.0,140.0,31
1179.0,2148.0,260.0,871.0,192.0,2811.0,685.0,136.0,32
1178.0,2182.0,220.0,882.0,220.0,2419.0,640.0,141.0,33
1179.0,2147.0,294.0,862.0,201.0,2062.0,579.0,157.0,34
1178.0,2166.0,225.0,878.0,216.0,1711.0,558.0,157.0,35
1179.0,2186.0,243.0,859.0,191.0,1435.0,524.0,180.0,36
1178.0,2159.0,274.0,836.0,189.0,3832.0,484.0,180.0,37
1178.0,2140.0,256.0,890.0,180.0,3275.0,484.0,172.0,38
1178.0,2147.0,235.0,925.0,192.0,2801.0,464.0,186.0,39
1172.0,2139.0,255.0,939.0,190.0,2376.0,443.0,191.0,40
1179.0,2137.0,248.0,976.0,188.0,2089.0,406.0,197.0,41
1179.0,2117.0,258.0,971.0,183.0,1817.0,386.0,229.0,42
1178.0,2137.0,244.0,963.0,182.0,1521.0,398.0,233.0,43
1179.0,2108.0,260.0,960.0,185.0,3850.0,408.0,226.0,44
1178.0,2099.0,238.0,984.0,175.0,3260.0,408.0,227.0,45
1178.0,2119.0,243.0,979.0,183.0,2798.0,403.0,231.0,46
1178.0,2131.0,238.0,922.0,187.0,2410.0,393.0,237.0,47
1165.0,2115.0,247.0,930.0,170.0,2128.0,357.0,242.0,48
1173.0,2097.0,256.0,924.0,189.0,1808.0,326.0,246.0,49
1171.0,2111.0,242.0,914.0,206.0,1470.0,306.0,211.0,50
1179.0,2077.0,255.0,903.0,222.0,3808.0,333.0,217.0,51
1179.0,2072.0,237.0,952.0,200.0,3308.0,348.0,236.0,52
1178.0,2110.0,228.0,915.0,197.0,2798.0,335.0,233.0,53
1179.0,2086.0,247.0,903.0,182.0,2414.0,351.0,222.0,54
1178.0,2081.0,249.0,919.0,184.0,2101.0,350.0,230.0,55
1177.0,2103.0,238.0,942.0,198.0,1790.0,353.0,234.0,56
1179.0,2116.0,229.0,965.0,181.0,1492.0,345.0,231.0,57
1179.0,2084.0,271.0,1003.0,171.0,3845.0,348.0,227.0,58
1179.0,2136.0,224.0,1001.0,194.0,3294.0,366.0,227.0,59
1161.0,2141.0,233.0,1012.0,187.0,2817.0,361.0,226.0,60
