Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4
0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5
0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,6
0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7
0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,8
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9
0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,10
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,11
0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,12
0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,13
105.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,14
40.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,15
32.0,12.0,0.0,1.0,0.0,0.0,2.0,2.0,16
65.0,21.0,1.0,1.0,0.0,0.0,1.0,2.0,17
23.0,30.0,4.0,1.0,0.0,0.0,0.0,3.0,18
5.0,45.0,4.0,2.0,0.0,0.0,0.0,3.0,19
102.0,39.0,9.0,2.0,0.0,0.0,0.0,4.0,20
41.0,29.0,14.0,2.0,0.0,0.0,0.0,2.0,21
31.0,38.0,6.0,5.0,1.0,0.0,0.0,2.0,22
66.0,40.0,14.0,4.0,4.0,0.0,1.0,3.0,23
30.0,40.0,18.0,5.0,4.0,0.0,1.0,6.0,24
60.0,47.0,15.0,5.0,6.0,0.0,0.0,6.0,25
27.0,50.0,13.0,9.0,6.0,0.0,2.0,9.0,26
155.0,43.0,17.0,9.0,8.0,0.0,2.0,11.0,27
171.0,51.0,17.0,10.0,9.0,0.0,1.0,14.0,28
129.0,71.0,20.0,23.0,9.0,0.0,0.0,15.0,29
282.0,86.0,14.0,24.0,8.0,0.0,1.0,16.0,30
412.0,104.0,31.0,29.0,17.0,0.0,1.0,12.0,31
212.0,152.0,28.0,27.0,19.0,0.0,1.0,12.0,32
254.0,196.0,33.0,37.0,23.0,0.0,0.0,19.0,33
297.0,223.0,43.0,44.0,23.0,0.0,0.0,30.0,34
379.0,252.0,63.0,55.0,32.0,0.0,0.0,28.0,35
312.0,251.0,84.0,68.0,26.0,0.0,0.0,39.0,36
450.0,271.0,88.0,80.0,32.0,0.0,0.0,40.0,37
409.0,295.0,100.0,90.0,33.0,0.0,0.0,72.0,38
638.0,339.0,104.0,114.0,40.0,0.0,0.0,58.0,39
890.0,341.0,105.0,118.0,58.0,0.0,0.0,77.0,40
954.0,395.0,120.0,120.0,61.0,0.0,0.0,90.0,41
1409.0,480.0,131.0,162.0,66.0,0.0,0.0,121.0,42
1606.0,614.0,147.0,193.0,83.0,0.0,0.0,131.0,43
1530.0,804.0,156.0,208.0,75.0,0.0,0.0,153.0,44
2025.0,980.0,208.0,228.0,88.0,0.0,0.0,157.0,45
2280.0,1145.0,266.0,317.0,109.0,0.0,0.0,225.0,46
2554.0,1390.0,330.0,342.0,127.0,0.0,0.0,229.0,47
3399.0,1523.0,414.0,418.0,156.0,0.0,0.0,249.0,48
4031.0,1846.0,456.0,485.0,191.0,0.0,0.0,285.0,49
4164.0,2182.0,564.0,566.0,287.0,0.0,0.0,315.0,50
4570.0,2566.0,644.0,718.0,335.0,0.0,0.0,396.0,51
4886.0,3027.0,722.0,786.0,395.0,0.0,0.0,515.0,52
6727.0,3428.0,900.0,966.0,483.0,0.0,0.0,569.0,53
6977.0,3840.0,1033.0,1163.0,515.0,0.0,0.0,725.0,54
8328.0,4410.0,1166.0,1396.0,572.0,0.0,0.0,826.0,55
9352.0,5035.0,1378.0,1650.0,714.0,0.0,0.0,967.0,56
9873.0,5748.0,1612.0,1948.0,796.0,0.0,0.0,1136.0,57
9944.0,6609.0,1809.0,2201.0,879.0,0.0,0.0,1303.0,58
9915.0,7397.0,2065.0,2582.0,1070.0,0.0,0.0,1621.0,59
9986.0,8111.0,2311.0,3024.0,1181.0,0.0,0.0,1800.0,60
9999.0,8500.0,2526.0,3431.0,1268.0,0.0,0.0,2113.0,61
9999.0,8862.0,2863.0,3761.0,1425.0,0.0,0.0,2413.0,62
9949.0,9073.0,3139.0,4278.0,1619.0,0.0,0.0,2797.0,63
9999.0,9172.0,3421.0,4799.0,1741.0,0.0,0.0,3100.0,64
