Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
874.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,2
636.0,292.0,3.0,0.0,0.0,0.0,0.0,0.0,3
377.0,480.0,23.0,0.0,1.0,0.0,0.0,0.0,4
102.0,662.0,65.0,2.0,0.0,0.0,0.0,1.0,5
0.0,622.0,123.0,9.0,12.0,0.0,0.0,1.0,6
0.0,512.0,161.0,29.0,25.0,0.0,0.0,6.0,7
0.0,396.0,196.0,41.0,46.0,0.0,0.0,14.0,8
0.0,293.0,204.0,74.0,60.0,0.0,0.0,32.0,9
24.0,190.0,195.0,98.0,84.0,0.0,1.0,48.0,10
97.0,92.0,180.0,167.0,106.0,0.0,0.0,75.0,11
56.0,36.0,157.0,181.0,105.0,0.0,0.0,81.0,12
126.0,19.0,84.0,211.0,93.0,0.0,0.0,118.0,13
336.0,32.0,32.0,232.0,103.0,0.0,0.0,149.0,14
615.0,50.0,8.0,233.0,70.0,0.0,0.0,154.0,15
716.0,105.0,9.0,233.0,67.0,0.0,0.0,167.0,16
766.0,210.0,15.0,216.0,54.0,0.0,1.0,187.0,17
1265.0,349.0,23.0,233.0,41.0,0.0,0.0,189.0,18
1202.0,461.0,59.0,216.0,42.0,0.0,0.0,180.0,19
1235.0,661.0,75.0,245.0,39.0,0.0,1.0,190.0,20
1328.0,825.0,122.0,253.0,55.0,0.0,0.0,206.0,21
1406.0,933.0,222.0,265.0,63.0,60299.0,9.0,228.0,22
1625.0,1039.0,274.0,314.0,85.0,55844.0,25.0,198.0,23
1550.0,1155.0,312.0,377.0,96.0,49858.0,63.0,194.0,24
1331.0,1288.0,337.0,449.0,147.0,44930.0,100.0,177.0,25
1463.0,1311.0,427.0,518.0,185.0,39634.0,140.0,190.0,26
1461.0,1323.0,483.0,630.0,248.0,34968.0,192.0,170.0,27
1291.0,1356.0,499.0,777.0,258.0,30476.0,234.0,145.0,28
1061.0,1320.0,523.0,871.0,302.0,86468.0,317.0,142.0,29
1017.0,1252.0,533.0,1036.0,336.0,77739.0,396.0,122.0,30
883.0,1192.0,532.0,1139.0,386.0,69155.0,511.0,146.0,31
758.0,1116.0,491.0,1237.0,412.0,60549.0,619.0,116.0,32
677.0,1085.0,469.0,1354.0,463.0,52432.0,689.0,132.0,33
512.0,959.0,466.0,1464.0,445.0,45470.0,828.0,131.0,34
505.0,841.0,447.0,1527.0,451.0,38549.0,859.0,115.0,35
523.0,717.0,437.0,1657.0,436.0,92571.0,957.0,124.0,36
440.0,635.0,379.0,1631.0,454.0,83188.0,1027.0,138.0,37
444.0,591.0,341.0,1754.0,440.0,72813.0,1129.0,120.0,38
343.0,536.0,292.0,1835.0,387.0,63357.0,1231.0,129.0,39
366.0,453.0,298.0,1902.0,401.0,54954.0,1243.0,107.0,40
331.0,423.0,265.0,1867.0,383.0,46871.0,1316.0,113.0,41
353.0,383.0,212.0,1872.0,371.0,40076.0,1363.0,106.0,42
313.0,374.0,184.0,1866.0,309.0,93913.0,1475.0,96.0,43
374.0,344.0,177.0,1849.0,298.0,83536.0,1435.0,101.0,44
415.0,323.0,156.0,1812.0,257.0,73141.0,1417.0,97.0,45
467.0,330.0,150.0,1846.0,224.0,63718.0,1460.0,94.0,46
449.0,344.0,122.0,1733.0,215.0,55280.0,1449.0,93.0,47
370.0,353.0,120.0,1756.0,208.0,47210.0,1369.0,72.0,48
463.0,383.0,137.0,1669.0,185.0,39872.0,1422.0,92.0,49
547.0,393.0,152.0,1669.0,145.0,94104.0,1384.0,82.0,50
434.0,404.0,150.0,1528.0,163.0,83933.0,1320.0,88.0,51
455.0,426.0,141.0,1519.0,130.0,73673.0,1388.0,63.0,52
427.0,462.0,134.0,1508.0,138.0,63965.0,1383.0,68.0,53
452.0,459.0,158.0,1433.0,140.0,55327.0,1302.0,61.0,54
325.0,451.0,176.0,1360.0,139.0,47464.0,1269.0,64.0,55
315.0,436.0,200.0,1277.0,135.0,40044.0,1195.0,56.0,56
255.0,414.0,189.0,1235.0,130.0,94005.0,1193.0,48.0,57
260.0,383.0,165.0,1181.0,136.0,84315.0,1185.0,48.0,58
213.0,342.0,162.0,1228.0,121.0,73555.0,1114.0,52.0,59
194.0,309.0,157.0,1124.0,143.0,64041.0,1037.0,37.0,60
99.0,259.0,160.0,1062.0,149.0,55211.0,1058.0,39.0,61
143.0,229.0,141.0,1058.0,133.0,47512.0,974.0,26.0,62
132.0,199.0,126.0,1025.0,120.0,40337.0,1013.0,40.0,63
216.0,174.0,107.0,948.0,144.0,93758.0,944.0,32.0,64
167.0,146.0,98.0,945.0,128.0,83871.0,942.0,31.0,65
145.0,143.0,84.0,907.0,103.0,73746.0,932.0,31.0,66
103.0,147.0,68.0,888.0,99.0,63844.0,888.0,24.0,67
157.0,141.0,64.0,864.0,103.0,55167.0,900.0,34.0,68
143.0,142.0,59.0,839.0,92.0,47605.0,789.0,30.0,69
107.0,138.0,56.0,744.0,75.0,40198.0,755.0,26.0,70
114.0,135.0,53.0,752.0,76.0,93610.0,730.0,28.0,71
123.0,133.0,48.0,763.0,85.0,83531.0,708.0,25.0,72
120.0,124.0,60.0,694.0,63.0,73263.0,704.0,10.0,73
63.0,121.0,58.0,697.0,65.0,63834.0,692.0,10.0,74
31.0,123.0,51.0,652.0,57.0,55035.0,655.0,23.0,75
59.0,98.0,58.0,606.0,46.0,47131.0,622.0,14.0,76
61.0,89.0,48.0,543.0,58.0,40228.0,561.0,13.0,77
96.0,73.0,43.0,539.0,38.0,93584.0,560.0,20.0,78
116.0,64.0,41.0,525.0,47.0,84077.0,540.0,15.0,79
86.0,67.0,35.0,494.0,33.0,73620.0,506.0,13.0,80
88.0,84.0,25.0,485.0,34.0,63654.0,471.0,10.0,81
103.0,76.0,39.0,459.0,29.0,55111.0,465.0,6.0,82
98.0,73.0,37.0,397.0,23.0,47089.0,450.0,5.0,83
60.0,84.0,28.0,377.0,28.0,40287.0,417.0,11.0,84
64.0,89.0,28.0,337.0,22.0,93898.0,374.0,4.0,85
33.0,75.0,28.0,326.0,31.0,83581.0,362.0,6.0,86
19.0,70.0,33.0,344.0,22.0,73455.0,353.0,7.0,87
44.0,60.0,26.0,294.0,24.0,63763.0,341.0,4.0,88
14.0,51.0,25.0,275.0,12.0,54881.0,314.0,6.0,89
11.0,35.0,24.0,271.0,29.0,47201.0,285.0,4.0,90
7.0,27.0,25.0,243.0,27.0,40242.0,264.0,6.0,91
0.0,25.0,21.0,232.0,16.0,94099.0,242.0,5.0,92
0.0,18.0,12.0,241.0,16.0,83607.0,228.0,4.0,93
0.0,14.0,7.0,229.0,16.0,73674.0,226.0,3.0,94
0.0,11.0,5.0,193.0,13.0,63834.0,197.0,1.0,95
0.0,6.0,7.0,186.0,15.0,55211.0,198.0,0.0,96
0.0,3.0,6.0,158.0,14.0,47164.0,198.0,3.0,97
0.0,2.0,5.0,158.0,14.0,39721.0,167.0,0.0,98
0.0,0.0,3.0,136.0,11.0,93689.0,172.0,0.0,99
0.0,0.0,2.0,129.0,11.0,83328.0,149.0,0.0,100
0.0,0.0,2.0,126.0,15.0,72946.0,132.0,1.0,101
0.0,0.0,0.0,124.0,10.0,63685.0,133.0,0.0,102
0.0,0.0,0.0,105.0,12.0,54772.0,119.0,0.0,103
0.0,0.0,0.0,117.0,7.0,47471.0,106.0,1.0,104
0.0,0.0,0.0,80.0,6.0,40021.0,111.0,1.0,105
0.0,0.0,0.0,81.0,3.0,93824.0,106.0,1.0,106
0.0,0.0,0.0,93.0,6.0,83959.0,92.0,0.0,107
0.0,0.0,0.0,66.0,4.0,73406.0,88.0,1.0,108
0.0,0.0,0.0,79.0,1.0,64359.0,65.0,0.0,109
0.0,0.0,0.0,73.0,2.0,55271.0,73.0,0.0,110
0.0,0.0,0.0,48.0,1.0,47226.0,74.0,1.0,111
0.0,0.0,0.0,49.0,1.0,39936.0,53.0,1.0,112
0.0,0.0,0.0,53.0,1.0,93621.0,46.0,0.0,113
0.0,0.0,0.0,48.0,0.0,83554.0,40.0,0.0,114
0.0,0.0,0.0,33.0,0.0,73457.0,40.0,0.0,115
0.0,0.0,0.0,44.0,0.0,63931.0,44.0,0.0,116
0.0,0.0,0.0,25.0,0.0,54614.0,41.0,0.0,117
0.0,0.0,0.0,29.0,0.0,47277.0,29.0,0.0,118
0.0,0.0,0.0,22.0,0.0,39927.0,34.0,0.0,119
0.0,0.0,0.0,16.0,0.0,93746.0,33.0,0.0,120
0.0,0.0,0.0,12.0,0.0,83604.0,28.0,0.0,121
0.0,0.0,0.0,16.0,0.0,73699.0,18.0,0.0,122
0.0,0.0,0.0,10.0,0.0,63567.0,19.0,0.0,123
0.0,0.0,0.0,15.0,0.0,55325.0,21.0,0.0,124
0.0,0.0,0.0,9.0,0.0,47316.0,13.0,0.0,125
0.0,0.0,0.0,8.0,0.0,40092.0,12.0,0.0,126
0.0,0.0,0.0,9.0,0.0,93623.0,13.0,0.0,127
0.0,0.0,0.0,7.0,0.0,83577.0,9.0,0.0,128
0.0,0.0,0.0,11.0,0.0,73034.0,6.0,0.0,129
0.0,0.0,0.0,1.0,0.0,64079.0,5.0,0.0,130
0.0,0.0,0.0,5.0,0.0,55212.0,7.0,0.0,131
0.0,0.0,0.0,7.0,0.0,47253.0,6.0,0.0,132
0.0,0.0,0.0,4.0,0.0,39974.0,7.0,0.0,133
0.0,0.0,0.0,0.0,0.0,94152.0,2.0,0.0,134
0.0,0.0,0.0,4.0,0.0,84043.0,3.0,0.0,135
0.0,0.0,0.0,0.0,0.0,73333.0,4.0,0.0,136
0.0,0.0,0.0,5.0,0.0,63863.0,2.0,0.0,137
0.0,0.0,0.0,2.0,0.0,55215.0,2.0,0.0,138
0.0,0.0,0.0,4.0,0.0,47498.0,2.0,0.0,139
0.0,0.0,0.0,1.0,0.0,39935.0,2.0,0.0,140
0.0,0.0,0.0,1.0,0.0,94229.0,2.0,0.0,141
0.0,0.0,0.0,1.0,0.0,83376.0,1.0,0.0,142
0.0,0.0,0.0,0.0,0.0,73722.0,0.0,0.0,143
0.0,0.0,0.0,1.0,0.0,64331.0,2.0,0.0,144
0.0,0.0,0.0,1.0,0.0,55289.0,1.0,0.0,145
0.0,0.0,0.0,0.0,0.0,47192.0,2.0,0.0,146
0.0,0.0,0.0,1.0,0.0,40641.0,1.0,0.0,147
0.0,0.0,0.0,0.0,0.0,94170.0,0.0,0.0,148
0.0,0.0,0.0,0.0,0.0,83933.0,0.0,0.0,149
0.0,0.0,0.0,0.0,0.0,73750.0,0.0,0.0,150
