Egg,Larva,Pupa,Fertile Male Adult,Fertile Female Adult,Sterile Male Adult,Sterile Female Adult,Mated Female Adult,Time
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
98.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2
71.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3
45.0,54.0,3.0,0.0,0.0,0.0,0.0,0.0,4
13.0,76.0,7.0,1.0,0.0,0.0,0.0,0.0,5
0.0,75.0,13.0,2.0,2.0,0.0,0.0,0.0,6
0.0,62.0,17.0,7.0,5.0,0.0,0.0,1.0,7
0.0,46.0,22.0,15.0,9.0,0.0,0.0,2.0,8
0.0,30.0,30.0,23.0,10.0,0.0,0.0,4.0,9
0.0,20.0,25.0,31.0,11.0,0.0,0.0,8.0,10
0.0,11.0,18.0,35.0,23.0,0.0,0.0,7.0,11
9.0,5.0,16.0,46.0,16.0,0.0,0.0,17.0,12
55.0,0.0,8.0,43.0,17.0,0.0,0.0,20.0,13
41.0,3.0,4.0,51.0,16.0,0.0,0.0,23.0,14
64.0,8.0,1.0,43.0,24.0,0.0,0.0,21.0,15
55.0,18.0,0.0,48.0,19.0,0.0,0.0,22.0,16
147.0,33.0,1.0,60.0,12.0,0.0,0.0,29.0,17
186.0,46.0,4.0,54.0,8.0,0.0,0.0,29.0,18
228.0,68.0,6.0,53.0,11.0,0.0,0.0,31.0,19
166.0,108.0,9.0,46.0,10.0,0.0,0.0,38.0,20
259.0,137.0,16.0,53.0,11.0,0.0,0.0,29.0,21
250.0,154.0,30.0,59.0,8.0,0.0,0.0,38.0,22
186.0,178.0,50.0,63.0,7.0,0.0,0.0,32.0,23
174.0,180.0,54.0,69.0,16.0,0.0,0.0,45.0,24
293.0,180.0,72.0,88.0,19.0,0.0,0.0,43.0,25
341.0,181.0,76.0,101.0,19.0,0.0,0.0,56.0,26
293.0,201.0,66.0,126.0,38.0,0.0,0.0,49.0,27
212.0,220.0,76.0,142.0,40.0,0.0,0.0,66.0,28
565.0,232.0,76.0,160.0,48.0,0.0,0.0,88.0,29
381.0,265.0,79.0,196.0,52.0,0.0,0.0,97.0,30
515.0,303.0,71.0,214.0,58.0,0.0,0.0,107.0,31
577.0,333.0,99.0,230.0,58.0,0.0,0.0,99.0,32
695.0,361.0,105.0,255.0,77.0,0.0,0.0,130.0,33
819.0,418.0,109.0,271.0,72.0,0.0,0.0,132.0,34
852.0,482.0,128.0,310.0,85.0,0.0,0.0,160.0,35
807.0,566.0,149.0,307.0,87.0,0.0,0.0,171.0,36
1097.0,621.0,176.0,355.0,105.0,0.0,0.0,215.0,37
1050.0,707.0,198.0,383.0,110.0,0.0,0.0,230.0,38
1343.0,758.0,216.0,416.0,146.0,0.0,0.0,249.0,39
1509.0,857.0,228.0,452.0,137.0,0.0,0.0,264.0,40
1688.0,936.0,262.0,494.0,143.0,0.0,0.0,318.0,41
2177.0,1059.0,320.0,546.0,157.0,0.0,0.0,331.0,42
1988.0,1193.0,353.0,637.0,177.0,0.0,0.0,397.0,43
2277.0,1381.0,385.0,726.0,219.0,0.0,0.0,432.0,44
2559.0,1573.0,426.0,789.0,225.0,0.0,0.0,476.0,45
3081.0,1761.0,473.0,885.0,237.0,0.0,0.0,550.0,46
